TP9,AF7,AF8,TP10
-1000.0,-1000.0,-1000.0,-994.629
-954.102,-1000.0,-1000.0,-1000.0
-532.227,-788.574,-783.203,-851.562
413.086,-450.684,-488.77,-480.957
-997.559,708.496,644.043,654.297
-979.98,-890.137,-947.266,-930.176
566.895,-909.668,-868.652,-945.312
-280.273,525.879,542.969,533.691
-934.082,-429.199,-197.266,-539.062
-1000.0,-859.863,-820.312,-926.27
-1000.0,-1000.0,-1000.0,-1000.0
-911.621,-1000.0,-1000.0,-1000.0
-522.461,-32.227,109.375,75.684
-988.281,-415.527,-431.152,-432.129
-1000.0,-1000.0,-1000.0,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-330.078,-971.191,-982.91,-985.84
297.852,20.02,-62.012,-61.523
996.094,471.191,340.332,346.68
-892.09,-824.707,-848.633,-812.5
459.473,-884.277,-856.934,-866.211
-182.129,379.395,559.082,474.121
-784.18,-216.309,-228.516,-216.309
-1000.0,-1000.0,-883.789,-929.688
-343.262,508.301,482.91,509.766
-922.363,-541.992,-276.855,-520.02
-1000.0,-939.941,-907.715,-959.961
-1000.0,-1000.0,-1000.0,-1000.0
-605.957,-888.672,-834.473,-957.52
258.789,-527.344,-505.859,-574.707
965.332,672.363,633.301,578.613
-955.078,-913.086,-963.867,-954.59
602.051,-880.859,-845.703,-904.785
-226.562,529.297,549.316,544.922
-859.375,-278.32,-92.285,-338.867
-1000.0,-842.773,-817.383,-864.258
-1000.0,-1000.0,-1000.0,-1000.0
-666.504,-1000.0,-1000.0,-1000.0
46.387,-581.543,-555.664,-584.961
893.066,495.605,560.059,275.879
-884.277,975.098,954.102,957.031
751.953,-823.242,-824.219,-828.125
-29.297,605.957,609.863,653.32
-742.188,31.738,53.223,-78.613
-1000.0,-838.379,-842.773,-837.402
452.148,982.91,-923.828,890.137
-416.504,491.211,484.863,452.148
-931.152,-607.422,-336.914,-490.234
-1000.0,-944.824,-919.922,-944.824
-1000.0,-1000.0,-1000.0,-1000.0
-585.449,-882.324,-828.125,-924.316
309.082,-527.344,-508.301,-509.766
975.098,652.344,629.883,609.375
-946.777,-913.086,-959.473,-941.406
604.004,-901.367,-855.469,-876.465
-202.148,527.344,542.48,552.734
-853.027,-367.188,-112.793,-254.395
-1000.0,-860.352,-828.613,-871.582
-1000.0,-1000.0,-1000.0,-1000.0
-669.922,-1000.0,-972.656,-1000.0
82.031,-592.773,-559.082,-585.938
894.043,494.629,555.664,372.559
-924.316,-981.445,-988.77,959.473
-987.305,-1000.0,-1000.0,-1000.0
-143.066,-876.465,-961.426,-933.594
434.082,140.137,73.73,95.703
-873.047,678.711,568.359,591.309
-968.262,-779.297,-809.57,-791.504
286.621,-962.402,-983.887,-958.008
-446.289,86.914,360.352,110.84
-932.129,-347.168,-294.434,-402.344
-1000.0,-1000.0,-1000.0,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-354.492,-979.492,-980.469,-1000.0
293.945,15.625,-63.965,-113.281
-937.988,483.887,337.891,458.008
-881.348,-832.031,-850.098,-841.797
345.703,-895.508,-869.141,-879.883
-360.352,392.578,502.441,423.34
-873.047,-220.215,-209.961,-294.922
-1000.0,-1000.0,-977.539,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-480.469,-1000.0,-1000.0,-1000.0
201.66,-109.863,-118.652,-200.684
971.191,329.102,283.203,281.738
-841.797,-888.184,-882.324,-886.23
493.652,-840.332,-831.543,-826.66
-239.746,672.852,666.992,650.879
-816.406,-227.051,-248.535,-186.035
-1000.0,-929.199,-817.383,-904.785
-1000.0,-1000.0,-1000.0,-1000.0
-686.523,-1000.0,-1000.0,-1000.0
123.047,-340.332,-259.766,-453.125
861.816,180.664,174.316,167.969
-825.684,-946.777,-948.242,-976.074
651.855,-795.41,-819.336,-801.758
-108.398,863.281,779.297,835.449
662.598,-214.844,-445.312,-284.668
-914.551,808.105,747.07,804.199
912.598,-815.43,-846.68,-833.008
312.012,964.355,-953.125,932.129
-512.695,462.402,491.699,405.762
-980.957,-659.18,-420.898,-644.531
-1000.0,-1000.0,-1000.0,-992.188
-963.867,-1000.0,-1000.0,-1000.0
-543.457,-790.527,-781.738,-847.168
477.051,-418.457,-487.793,-493.164
-974.609,747.07,649.414,689.941
-997.559,-862.305,-929.199,-890.625
515.625,-916.504,-895.02,958.496
-331.055,513.672,515.625,367.676
-938.477,-440.918,-229.004,-763.672
-1000.0,-682.617,-646.484,-796.387
-1000.0,-1000.0,-1000.0,-1000.0
-616.211,-952.148,-883.789,-956.055
-92.773,625.0,620.605,722.656
-747.07,79.59,80.566,204.102
-1000.0,-839.355,-851.074,-779.785
-1000.0,-1000.0,-1000.0,-1000.0
-754.883,-1000.0,-1000.0,-1000.0
-206.055,-564.453,-619.629,-591.309
809.57,100.586,50.293,20.508
-874.023,896.484,829.102,875.0
816.406,-800.293,-817.383,-801.27
87.402,747.07,790.039,768.555
-637.695,259.766,250.0,355.957
-1000.0,-819.336,-838.867,-778.809
-1000.0,-1000.0,-1000.0,-1000.0
-839.355,-1000.0,-1000.0,-1000.0
-398.926,-613.77,-743.164,-655.273
665.527,-204.102,-411.621,-204.102
-908.691,840.82,768.066,808.105
913.086,-816.406,-839.355,-830.078
331.543,922.363,-967.773,920.41
-507.324,413.086,462.402,438.477
-972.168,-722.656,-589.355,-725.586
-1000.0,-1000.0,-1000.0,-999.512
-955.078,-1000.0,-1000.0,-1000.0
-567.383,-782.227,-780.273,-861.816
435.547,-421.387,-477.539,-496.094
-986.328,734.375,656.738,727.539
983.398,-851.562,-916.016,-889.16
498.047,-958.496,-895.508,-944.824
-354.004,515.137,520.508,514.648
-887.207,-455.566,-209.961,-492.188
-1000.0,-883.789,-836.426,-893.066
-1000.0,-1000.0,-1000.0,-1000.0
-636.23,-970.703,-905.273,-1000.0
-595.703,-156.738,-161.133,-153.32
-1000.0,-582.031,-610.352,-543.457
-1000.0,-1000.0,-1000.0,-1000.0
-973.633,-1000.0,-1000.0,-1000.0
-155.762,-887.695,-968.75,-864.258
440.918,133.789,12.207,121.094
-866.699,681.641,539.551,617.188
-999.512,-779.297,-809.57,-790.527
254.883,-966.309,-983.398,-955.078
-427.246,78.613,289.062,21.973
-942.871,-352.051,-335.938,-390.137
-1000.0,-1000.0,-1000.0,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-327.148,-992.188,-984.375,-994.629
309.082,-22.461,-70.801,-72.754
-964.355,414.062,316.895,482.422
-873.535,-843.75,-867.676,-871.094
-775.391,-584.961,-586.914,-566.406
-774.414,-1000.0,-1000.0,-1000.0
79.59,-549.805,-466.797,-635.742
779.297,137.695,146.973,145.508
-827.637,983.887,-987.793,941.406
750.0,-781.25,-787.598,-797.363
-35.156,898.926,915.039,820.801
-654.297,-182.129,-179.688,-155.762
-1000.0,-618.652,-627.93,-564.453
-1000.0,-1000.0,-1000.0,-1000.0
-933.105,-1000.0,-1000.0,-1000.0
-100.586,-870.605,-958.984,-825.195
495.117,153.809,56.152,112.793
-858.398,709.961,609.375,697.266
966.309,-781.25,-812.012,-791.504
163.574,-970.215,-986.816,-988.77
-481.445,95.215,302.734,-95.215
-958.984,-327.148,-316.406,-577.148
-1000.0,-1000.0,-1000.0,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-339.355,-987.793,-981.445,-975.098
300.293,-24.902,-68.848,39.551
-940.918,413.086,315.918,434.082
-866.699,-848.145,-870.117,-822.266
335.449,-864.746,-840.332,-862.793
-314.453,444.824,631.836,403.32
-852.051,-233.887,-236.328,-225.098
-1000.0,-1000.0,-840.82,-907.715
-1000.0,-1000.0,-1000.0,-1000.0
-606.934,-1000.0,-1000.0,-1000.0
161.133,-340.332,-173.828,-449.219
879.395,165.527,177.246,188.477
-825.684,-942.383,-953.613,-952.637
797.363,-846.68,-850.098,-857.91
-505.371,-645.996,-750.977,-683.105
577.148,-216.797,-402.832,-377.93
-925.781,825.684,764.648,794.922
953.613,-823.73,-845.215,-845.703
500.0,918.945,-948.73,-984.863
-394.531,469.727,489.258,441.895
-961.914,-624.023,-303.711,-553.223
-1000.0,-949.707,-916.504,-965.332
-995.117,-1000.0,-1000.0,-1000.0
-580.078,-911.621,-847.168,-931.641
317.871,-546.387,-517.09,-543.945
961.426,617.676,614.258,604.492
970.215,-915.527,-963.379,-968.262
561.523,-887.207,-845.703,-898.438
-212.891,535.156,558.105,562.5
-763.184,-319.336,-78.613,-266.113
-1000.0,-844.727,-820.312,-821.289
-1000.0,-828.125,-839.844,-701.66
-1000.0,-1000.0,-1000.0,-1000.0
-829.102,-1000.0,-1000.0,-1000.0
-383.301,-609.863,-740.234,-656.738
674.805,-204.102,-400.879,-254.395
-916.504,826.172,764.16,807.617
923.828,-822.266,-853.027,-836.914
407.715,931.152,-964.844,956.543
-479.98,465.332,484.375,431.152
-986.328,-641.113,-482.91,-691.895
-1000.0,-1000.0,-1000.0,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-533.691,-834.961,-811.035,-973.633
381.836,-494.141,-489.258,-484.375
974.609,650.879,629.883,646.484
-949.219,-915.039,-961.426,-954.102
617.676,-888.184,-849.609,-871.582
-187.988,539.551,564.941,586.426
-827.148,-241.699,-84.961,-88.867
-1000.0,-840.82,-836.914,-850.098
-1000.0,-1000.0,-1000.0,-1000.0
-720.703,-1000.0,-1000.0,-1000.0
-157.227,-571.777,-602.539,-584.961
812.5,335.449,445.801,45.41
-902.832,922.363,905.273,922.852
814.453,-801.758,-812.012,-799.316
269.531,660.156,638.184,811.035
-542.969,254.395,193.359,334.961
-1000.0,-823.73,-842.773,-775.391
-1000.0,-1000.0,-1000.0,-1000.0
-931.152,-1000.0,-1000.0,-1000.0
-520.02,-712.891,-874.512,-826.172
608.887,-260.742,-435.059,-300.781
-938.477,813.477,736.328,790.527
-739.258,-1000.0,-1000.0,-1000.0
-243.652,-573.242,-587.402,-598.145
818.359,313.965,500.0,-26.367
-881.836,923.34,893.066,913.086
852.051,-800.293,-821.289,-813.965
207.52,697.754,741.699,839.844
-556.152,256.348,211.426,374.023
-1000.0,-812.012,-812.012,-709.473
-1000.0,-1000.0,-1000.0,-1000.0
-876.953,-1000.0,-1000.0,-1000.0
-445.801,-661.133,-755.859,-731.934
580.566,-312.012,-454.102,-396.484
-943.359,797.363,709.473,772.461
940.918,-840.332,-882.324,-863.77
273.438,954.102,-954.59,885.254
-443.359,480.469,482.422,372.07
-908.691,-647.461,-405.762,-412.598
-183.594,-169.922,-150.391,-214.844
780.273,-782.715,-794.434,-787.598
29.297,891.602,881.348,880.859
-652.344,-164.062,-178.711,-97.168
-1000.0,-559.082,-608.398,-543.945
-1000.0,-1000.0,-1000.0,-1000.0
-982.422,-1000.0,-1000.0,-1000.0
-313.477,-895.508,-968.75,-951.66
407.227,135.742,3.906,-17.578
-880.371,658.203,514.648,447.266
-929.688,-786.621,-816.895,-808.105
342.773,-933.594,-944.336,-913.086
-381.836,200.684,402.832,307.617
896.484,-811.523,-816.406,-818.359
283.203,898.438,-998.535,884.766
-534.668,405.273,500.977,289.062
-992.676,-717.773,-596.191,-786.133
-1000.0,-1000.0,-1000.0,-1000.0
-942.871,-1000.0,-1000.0,-1000.0
-527.344,-719.727,-769.531,-793.457
534.668,-351.074,-468.262,-428.711
-955.078,778.809,680.176,753.418
968.75,-842.773,-885.742,-868.164
443.359,-988.77,-920.41,971.68
-435.059,501.465,485.352,476.074
-930.176,-537.109,-277.344,-533.691
-1000.0,-924.316,-901.855,-957.52
-1000.0,-1000.0,-1000.0,-1000.0
-589.355,-886.719,-838.867,-961.426
300.781,-519.043,-498.047,-529.785
973.145,659.668,624.512,610.352
-940.43,-911.621,-963.867,-945.801
625.488,-885.742,-852.539,-918.945
-242.676,529.785,551.758,545.898
-894.043,859.863,791.016,855.957
873.047,-809.082,-817.871,-816.895
262.695,861.816,980.957,896.973
-507.812,387.695,431.641,362.305
-993.652,-754.395,-690.918,-648.438
-1000.0,-1000.0,-1000.0,-1000.0
-922.852,-1000.0,-1000.0,-1000.0
-491.699,-725.098,-770.02,-771.973
560.547,-359.375,-472.656,-386.23
-949.707,787.109,686.523,758.301
