TP9,AF7,AF8,TP10
-1000.0,-1000.0,-1000.0,-1000.0
-954.59,-1000.0,-1000.0,-1000.0
-124.512,-867.188,-959.473,-924.316
467.285,145.02,39.551,88.379
-858.887,748.047,641.113,692.871
980.957,-779.785,-800.781,-795.41
154.785,-989.746,-997.07,-982.91
-529.785,41.992,174.316,141.602
-979.492,-348.145,-392.09,-407.715
-1000.0,-1000.0,-1000.0,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-256.836,-940.918,-980.957,-978.516
338.379,103.516,-58.594,18.555
-904.297,565.43,361.328,508.789
-913.086,-822.266,-831.055,-809.57
298.34,-919.922,-896.484,-902.344
-388.184,281.25,443.848,311.523
-926.758,-225.586,-202.637,-241.211
-1000.0,-1000.0,-1000.0,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-447.266,-1000.0,-999.023,-1000.0
254.395,-46.875,-89.355,-146.973
-980.957,380.371,297.852,298.34
-850.098,-867.676,-870.605,-857.91
443.359,-857.91,-834.473,-846.191
-273.926,594.727,626.465,581.543
803.223,172.363,85.449,37.598
-868.652,872.559,837.402,883.789
813.965,-825.684,-838.379,-815.43
113.77,789.551,875.977,758.789
-660.645,315.43,310.547,251.953
-1000.0,-803.711,-807.129,-781.25
-1000.0,-1000.0,-1000.0,-1000.0
-846.191,-1000.0,-1000.0,-1000.0
-397.461,-600.586,-741.211,-673.34
696.777,-152.344,-391.113,-270.996
-900.879,832.031,780.273,833.496
901.367,-814.453,-836.426,-823.73
314.941,938.965,-991.699,745.605
-502.93,457.031,475.098,14.16
-937.012,-591.797,-498.047,-743.652
-1000.0,-1000.0,-1000.0,-1000.0
-941.895,-1000.0,-1000.0,-1000.0
-562.988,-818.848,-830.078,-825.195
-270.996,526.855,546.875,581.055
-877.441,-323.242,-113.77,-199.707
-1000.0,-851.562,-817.871,-854.98
-1000.0,-1000.0,-1000.0,-1000.0
-658.203,-1000.0,-1000.0,-1000.0
115.723,-592.773,-569.824,-581.055
907.227,499.023,556.641,357.422
-904.297,992.676,978.027,966.309
690.43,-828.125,-831.543,-841.309
-110.84,578.125,587.891,647.949
-734.863,-53.223,25.391,47.363
-1000.0,-838.867,-848.633,-811.035
-1000.0,-1000.0,-1000.0,-1000.0
-729.492,-1000.0,-1000.0,-1000.0
-209.961,-563.965,-610.84,-571.289
820.801,175.781,213.867,121.582
-875.0,906.738,862.305,873.535
814.941,-799.805,-816.406,-804.688
79.102,722.168,761.23,742.188
-643.555,248.535,180.176,190.918
-1000.0,-829.59,-853.027,-834.473
-1000.0,-1000.0,-1000.0,-1000.0
-837.891,-1000.0,-1000.0,-1000.0
-443.359,-601.562,-731.934,-691.406
669.434,-172.363,-365.723,-263.184
-909.18,848.633,774.902,809.082
863.77,-847.656,-864.258,-860.352
226.562,908.203,-987.305,919.922
-525.879,425.293,483.398,365.723
-944.336,-714.844,-577.148,-744.629
-1000.0,-1000.0,-1000.0,-998.535
-973.633,-1000.0,-1000.0,-1000.0
-540.039,-778.809,-778.32,-849.121
-725.098,-240.234,-249.512,-235.352
-1000.0,-894.043,-743.164,-762.207
-1000.0,-1000.0,-1000.0,-1000.0
-844.727,-1000.0,-1000.0,-1000.0
24.902,-627.441,-705.566,-627.441
665.527,138.672,111.328,148.438
-831.543,937.5,979.98,837.402
829.102,-777.832,-787.109,-791.016
91.797,912.598,898.438,757.324
-601.074,-150.391,-160.645,-119.629
-1000.0,-562.988,-604.004,-599.609
-1000.0,-1000.0,-1000.0,-1000.0
-958.008,-1000.0,-1000.0,-1000.0
-84.961,-896.973,-973.145,-926.758
441.895,126.465,-16.113,125.488
-867.188,666.016,531.25,711.426
-993.652,-782.715,-816.406,-820.312
-638.672,-1000.0,-927.246,-1000.0
-543.945,-1000.0,-1000.0,-1000.0
201.172,-180.176,-110.352,-331.543
961.426,255.371,255.371,227.539
-835.449,-895.508,-901.367,-891.602
510.254,-827.637,-827.148,-822.266
-177.246,678.223,728.516,589.355
-782.715,-240.723,-247.07,-219.727
-1000.0,-879.395,-713.867,-821.289
-1000.0,-1000.0,-1000.0,-1000.0
-783.203,-1000.0,-1000.0,-1000.0
56.152,-575.684,-556.152,-614.746
716.309,137.207,135.254,143.555
-826.172,957.52,-995.605,946.777
771.973,-777.344,-787.598,-790.527
2.441,906.25,906.738,848.633
-612.793,-99.609,-94.238,-153.809
-1000.0,-516.602,-592.285,-664.062
-1000.0,-1000.0,-1000.0,-1000.0
-945.801,-1000.0,-1000.0,-1000.0
-113.77,-895.02,-972.656,-861.816
469.238,130.371,-4.395,141.602
-865.723,657.715,535.645,683.594
-987.793,-785.645,-820.801,-792.48
156.25,-945.801,-973.633,-966.309
-489.258,133.301,393.066,176.27
-975.586,-312.5,-246.094,-315.43
-1000.0,-1000.0,-1000.0,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-366.211,-1000.0,-991.699,-1000.0
283.203,-72.266,-65.43,-125.977
-969.238,373.535,308.105,357.422
-862.305,-857.422,-875.488,-845.703
-746.094,-1000.0,-1000.0,-1000.0
-367.676,-566.895,-616.699,-591.309
789.551,161.133,260.742,-100.586
-901.367,889.648,841.309,891.113
883.301,-802.734,-822.266,-803.711
229.004,758.301,882.812,861.816
-569.824,333.496,425.293,290.527
-1000.0,-782.227,-707.52,-738.77
-1000.0,-1000.0,-1000.0,-1000.0
-889.16,-1000.0,-1000.0,-1000.0
-476.562,-708.008,-764.16,-728.516
564.453,-349.609,-468.75,-400.391
-946.289,777.344,677.734,767.09
890.625,-836.426,-879.395,-871.094
387.695,966.797,-944.336,951.172
-374.023,475.098,482.91,441.895
-874.512,-633.789,-330.566,-504.883
-1000.0,-969.727,-937.988,-923.34
-1000.0,-837.891,-841.309,-810.547
-1000.0,-1000.0,-1000.0,-1000.0
-722.656,-1000.0,-1000.0,-1000.0
-161.133,-562.012,-606.934,-572.266
817.871,172.363,271.484,49.316
-878.906,890.625,845.215,866.699
841.309,-803.223,-817.383,-803.223
158.691,770.508,815.43,810.547
-636.719,315.918,293.945,245.117
-1000.0,-811.523,-837.891,-839.355
-1000.0,-1000.0,-1000.0,-1000.0
-881.348,-1000.0,-1000.0,-1000.0
-389.648,-636.23,-751.465,-728.027
607.91,-270.996,-439.453,-304.199
-945.801,808.105,690.43,771.973
956.543,-839.355,-886.23,-862.305
432.129,977.051,-949.707,996.094
-395.508,491.699,492.188,500.0
-920.898,-599.609,-335.449,-395.02
-1000.0,-921.387,-889.648,-938.965
-1000.0,-1000.0,-1000.0,-1000.0
-626.953,-945.801,-872.559,-1000.0
124.023,-565.918,-547.363,-573.242
932.129,593.75,605.469,403.32
-955.078,-952.637,-976.074,979.492
708.984,-862.793,-843.262,-852.051
73.242,553.711,576.66,650.391
-696.289,-70.801,2.441,33.691
-1000.0,-839.355,-850.098,-820.801
-1000.0,-1000.0,-1000.0,-1000.0
-755.371,-1000.0,-1000.0,-1000.0
-248.047,-557.129,-616.699,-575.684
777.344,103.516,126.465,-21.973
-889.16,900.391,847.168,877.441
-610.84,-958.008,-876.953,-1000.0
53.711,-564.453,-513.672,-585.938
926.758,598.633,613.77,349.609
-912.598,-952.148,-979.492,986.328
758.789,-854.98,-835.938,-844.727
-5.371,567.871,584.473,663.086
-614.258,-9.766,62.988,194.336
-1000.0,-839.844,-848.633,-809.082
-1000.0,-1000.0,-1000.0,-1000.0
-756.836,-1000.0,-1000.0,-1000.0
-255.859,-562.012,-627.441,-603.027
764.648,47.852,-56.152,-132.324
-892.09,872.559,816.406,875.0
812.5,-802.734,-815.43,-809.57
16.113,802.246,885.742,726.562
-537.109,328.125,352.539,98.145
-985.84,-789.062,-767.578,-662.109
-836.426,-884.766,-888.184,-916.504
571.777,-830.566,-828.125,-813.477
-125.977,684.082,712.402,636.719
-770.996,-240.234,-251.465,-208.496
-1000.0,-853.516,-718.262,-758.789
-1000.0,-1000.0,-1000.0,-1000.0
-854.98,-1000.0,-1000.0,-1000.0
-65.918,-629.883,-740.723,-808.105
605.469,139.648,116.699,123.535
-842.773,909.18,972.656,762.695
931.152,-773.438,-784.668,-786.621
159.18,955.566,968.75,990.234
-533.691,-46.875,-7.324,58.594
796.387,-812.988,-826.66,-811.523
59.082,708.984,740.723,703.613
-677.734,257.324,185.059,-10.742
-1000.0,-826.172,-850.098,-828.125
-1000.0,-1000.0,-1000.0,-1000.0
-821.777,-1000.0,-1000.0,-1000.0
-398.926,-562.988,-675.781,-621.094
731.934,-15.625,-170.41,-160.645
-890.625,856.445,804.688,859.375
862.793,-807.617,-815.918,-812.5
208.496,861.816,978.027,839.844
-574.219,399.902,454.102,331.543
-998.047,-737.793,-666.016,-756.348
-1000.0,-1000.0,-1000.0,-1000.0
-907.227,-1000.0,-1000.0,-1000.0
-479.492,-694.824,-759.277,-747.07
570.312,-308.105,-454.102,-375.0
-939.453,795.898,708.984,773.438
961.426,-836.914,-874.023,-852.539
445.312,980.469,-940.918,945.312
-413.574,478.027,482.422,384.766
-885.742,914.551,882.812,930.664
780.273,-806.152,-822.754,-803.711
41.992,671.387,685.059,729.004
-680.664,188.477,139.16,152.344
-1000.0,-834.473,-853.027,-777.344
-1000.0,-1000.0,-1000.0,-1000.0
-791.504,-1000.0,-1000.0,-1000.0
-296.875,-569.336,-687.988,-610.352
752.93,-38.574,-188.965,-84.473
-886.719,869.141,810.547,848.145
866.699,-804.199,-816.895,-817.383
246.094,825.195,949.707,865.723
-564.941,333.008,356.445,331.055
-1000.0,-779.785,-733.398,-751.465
-1000.0,-1000.0,-1000.0,-1000.0
-884.766,-1000.0,-1000.0,-1000.0
-527.344,-622.07,-746.582,-748.535
-925.781,-350.098,-333.984,-519.043
-1000.0,-1000.0,-902.832,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-688.477,-1000.0,-1000.0,-1000.0
116.211,-336.426,-191.406,-465.82
843.75,178.711,185.547,168.945
-823.242,-933.594,-944.336,-958.984
676.27,-808.594,-817.383,-807.129
-66.406,794.922,785.645,744.141
-702.148,-243.164,-245.605,-230.957
-1000.0,-812.012,-710.938,-786.133
-1000.0,-1000.0,-1000.0,-1000.0
-858.887,-1000.0,-1000.0,-1000.0
28.809,-610.352,-708.496,-656.738
677.734,139.16,118.164,147.949
-830.078,967.285,990.234,901.855
802.246,-775.391,-788.086,-784.668
51.27,928.711,904.297,895.508
-645.02,-140.137,-187.988,-115.234
-1000.0,-542.48,-629.395,-677.246
