TP9,AF7,AF8,TP10
-1000.0,-1000.0,-1000.0,-1000.0
-635.742,-974.609,-909.18,-1000.0
118.164,-585.449,-547.852,-570.801
910.645,507.324,568.359,396.484
-913.086,992.188,977.539,970.215
720.703,-823.73,-830.566,-831.055
-121.094,606.934,610.352,632.324
-895.996,33.691,74.219,-171.387
-1000.0,-840.82,-853.516,-866.699
-1000.0,-1000.0,-1000.0,-1000.0
-754.883,-1000.0,-1000.0,-1000.0
-332.031,207.52,429.688,328.125
-874.512,-270.02,-208.984,-295.41
-1000.0,-1000.0,-964.844,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-600.098,-1000.0,-1000.0,-1000.0
169.922,-190.43,-127.441,-341.797
858.398,243.652,244.141,187.012
-836.426,-904.297,-899.414,-955.078
613.77,-823.242,-826.66,-819.824
-15.625,693.848,727.539,716.309
-680.176,-238.281,-249.023,-167.969
-1000.0,-765.137,-692.383,-691.406
-166.016,539.551,566.406,590.332
-626.953,-14.648,91.309,5.371
-1000.0,-834.961,-819.824,-872.559
-1000.0,-1000.0,-1000.0,-1000.0
-692.871,-1000.0,-1000.0,-1000.0
-58.594,-577.637,-575.195,-596.68
870.117,417.969,520.02,230.957
-885.742,949.219,922.852,935.059
753.418,-819.824,-825.195,-815.918
-38.574,639.648,638.672,650.391
-747.559,138.184,114.258,13.184
-1000.0,-833.496,-849.609,-821.289
-1000.0,-1000.0,-1000.0,-1000.0
-763.184,-1000.0,-1000.0,-1000.0
-243.164,-554.688,-625.488,-599.121
788.086,85.449,24.414,-92.773
-876.953,874.023,830.078,865.234
852.539,-803.223,-819.336,-802.246
186.035,796.387,883.301,815.43
-574.707,319.336,320.312,262.207
-1000.0,-811.035,-822.754,-793.945
-1000.0,-1000.0,-1000.0,-1000.0
-233.887,541.016,566.406,563.477
-818.359,-222.656,-47.363,-195.801
-1000.0,-838.867,-827.148,-853.027
-1000.0,-1000.0,-1000.0,-1000.0
-677.246,-1000.0,-1000.0,-1000.0
22.461,-584.961,-586.426,-571.777
884.277,421.875,524.902,329.102
-885.254,959.961,940.43,944.336
753.906,-813.477,-826.172,-823.242
-20.508,613.281,626.953,665.039
-717.285,52.734,85.449,116.699
-1000.0,-840.332,-850.098,-812.5
-1000.0,-1000.0,-1000.0,-1000.0
-754.395,-1000.0,-1000.0,-1000.0
-232.91,-557.129,-617.676,-575.684
798.828,114.258,141.113,29.785
-904.297,905.762,871.582,902.344
-1000.0,-1000.0,-1000.0,-1000.0
-328.613,-981.934,-981.934,-1000.0
267.578,14.16,-59.082,-76.66
-965.82,454.102,328.125,344.238
-862.305,-832.52,-858.887,-845.703
392.578,-879.395,-861.328,-858.887
-300.781,395.996,594.727,457.52
-827.148,-230.957,-212.891,-271.973
-1000.0,-1000.0,-911.621,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-612.305,-1000.0,-1000.0,-1000.0
167.48,-198.242,-132.812,-470.215
914.062,250.0,246.094,234.863
-830.078,-903.809,-899.902,-913.086
545.41,-825.684,-827.637,-816.895
-168.457,722.656,700.195,686.035
-780.273,-231.445,-251.465,-212.891
-1000.0,-884.277,-786.133,-866.699
-1000.0,-1000.0,-1000.0,-1000.0
-729.004,-1000.0,-1000.0,-1000.0
83.008,-438.965,-426.27,-564.941
771.973,149.902,146.973,145.996
-823.242,-979.98,-966.309,972.656
717.773,-782.715,-807.129,-794.434
-40.039,876.465,794.434,869.629
-695.801,-181.152,-238.281,-123.047
-1000.0,-631.836,-644.043,-654.297
-1000.0,-1000.0,-1000.0,-1000.0
-884.277,-1000.0,-1000.0,-1000.0
0.977,-700.684,-881.348,-767.09
632.324,148.926,98.633,130.859
-838.379,887.207,926.758,822.266
886.719,-773.438,-786.133,-785.645
85.449,960.449,949.219,965.332
441.406,-447.266,-477.051,-464.355
-995.117,713.867,642.09,686.523
-978.516,-882.812,-948.73,-930.176
533.203,-892.578,-866.211,-948.73
-334.473,517.09,531.738,522.461
-899.414,-404.785,-166.504,-408.203
-1000.0,-771.484,-735.352,-791.016
-1000.0,-1000.0,-1000.0,-1000.0
-635.742,-986.328,-918.457,-1000.0
153.32,-571.289,-547.363,-584.473
932.617,588.379,587.402,432.617
-914.062,-970.215,990.234,995.605
684.57,-839.844,-833.984,-871.582
-98.633,586.426,583.496,531.25
-822.266,-19.531,5.859,-622.559
-1000.0,-735.84,-740.234,-814.453
-1000.0,-1000.0,-1000.0,-1000.0
-704.102,-1000.0,-1000.0,-1000.0
-292.969,162.109,326.66,341.797
-631.348,352.051,371.094,414.551
-1000.0,-789.551,-776.855,-659.668
-1000.0,-1000.0,-1000.0,-1000.0
-879.395,-1000.0,-1000.0,-1000.0
-412.598,-658.203,-753.906,-709.473
656.738,-255.859,-432.129,-295.898
-918.457,828.125,744.141,805.664
912.598,-821.777,-851.074,-837.891
329.102,906.738,-980.957,941.895
-493.652,429.688,482.91,466.797
-971.68,-721.191,-530.762,-588.867
-1000.0,-923.828,-943.359,-875.488
-958.984,-1000.0,-1000.0,-1000.0
-544.922,-810.547,-791.992,-845.703
429.688,-456.543,-488.77,-447.266
-987.793,711.914,645.996,719.238
-997.07,-875.488,-939.941,-902.832
548.34,-956.543,-892.578,-958.008
-345.215,518.066,524.414,520.02
-879.395,-508.301,-241.211,-476.562
-1000.0,-891.113,-834.473,-895.02
-1000.0,-1000.0,-1000.0,-1000.0
-652.832,-980.469,-909.668,-1000.0
140.625,-581.055,-540.039,-595.215
924.805,554.688,599.609,519.043
-925.781,-972.168,996.582,987.793
663.086,-842.773,-833.984,-838.379
-162.598,570.312,583.496,619.629
-757.812,-34.18,17.578,-46.387
-1000.0,-836.426,-842.285,-850.098
-1000.0,-1000.0,-1000.0,-1000.0
-715.82,-1000.0,-1000.0,-1000.0
-478.516,60.059,284.18,9.766
-953.125,-350.098,-336.426,-364.258
-1000.0,-1000.0,-1000.0,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-431.641,-981.934,-980.957,-980.957
266.602,-17.09,-75.195,-49.805
-956.055,436.523,321.289,400.391
-875.977,-828.125,-854.004,-828.613
416.992,-877.441,-846.68,-859.375
-251.953,362.793,546.387,249.023
-846.191,-239.746,-230.957,-282.715
-1000.0,-1000.0,-915.527,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-570.801,-1000.0,-1000.0,-1000.0
189.941,-296.875,-160.645,-373.047
890.625,187.5,197.266,266.113
-825.195,-920.41,-924.805,-930.664
582.031,-814.453,-822.266,-800.781
-930.664,-1000.0,-1000.0,-1000.0
-62.5,-832.52,-948.73,-877.93
550.781,139.648,83.008,103.027
-851.074,729.98,645.508,645.508
968.262,-776.367,-808.105,-786.621
145.508,-989.746,-998.535,989.258
-549.805,19.043,277.832,45.898
-974.121,-361.816,-327.637,-391.113
-1000.0,-1000.0,-1000.0,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-348.145,-981.445,-976.074,-971.68
307.129,9.766,-59.082,-18.555
-937.5,459.961,332.52,457.031
-889.16,-829.102,-855.469,-831.543
352.051,-878.418,-857.422,-876.465
-312.5,375.488,553.223,170.41
-850.586,-221.191,-224.609,-389.648
-1000.0,-1000.0,-905.273,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-576.172,-1000.0,-1000.0,-1000.0
174.316,-267.578,-159.18,-256.836
903.32,188.965,201.172,234.863
-828.125,-925.781,-937.012,-933.105
568.848,-813.477,-822.754,-816.406
-101.074,788.574,815.918,695.312
-749.512,-241.211,-245.117,-142.578
-1000.0,-776.855,-679.199,-705.078
-1000.0,-1000.0,-1000.0,-1000.0
-830.078,-1000.0,-1000.0,-1000.0
-51.27,-766.602,-832.031,-795.41
656.25,141.113,114.258,140.137
-834.961,865.723,958.008,840.82
856.445,-773.926,-794.922,-787.598
-574.219,-873.047,-818.848,-864.258
285.645,-459.961,-482.91,-524.902
996.094,698.73,645.996,617.676
-978.027,-889.16,-939.453,-930.176
661.621,-929.688,-869.141,-887.207
-155.273,527.344,542.48,560.059
-850.586,-295.898,-20.508,-261.23
-1000.0,-843.262,-826.172,-874.512
-1000.0,-1000.0,-1000.0,-1000.0
-675.781,-1000.0,-1000.0,-1000.0
-39.551,-574.707,-581.543,-581.543
874.023,377.93,513.184,314.941
-960.938,958.008,935.059,936.523
698.73,-812.988,-821.777,-814.453
-79.59,619.629,626.465,668.457
-666.504,69.336,102.051,69.824
-1000.0,-841.309,-851.562,-768.555
-973.145,-736.328,-548.34,-554.688
-1000.0,-1000.0,-1000.0,-953.125
-957.52,-1000.0,-1000.0,-1000.0
-567.383,-833.496,-815.918,-891.113
444.824,-437.012,-479.004,-478.516
-989.746,714.355,645.508,704.102
-977.539,-888.672,-945.801,-915.039
575.684,-912.109,-870.605,-913.086
-240.723,521.973,535.645,544.922
-958.984,-375.977,-167.969,-433.594
-1000.0,-861.816,-820.801,-933.105
-1000.0,-1000.0,-1000.0,-1000.0
-652.832,-1000.0,-981.934,-1000.0
101.074,-588.867,-565.43,-557.617
884.277,436.523,530.762,395.02
-887.207,952.148,938.965,921.875
777.832,-812.5,-822.754,-813.477
-27.832,637.207,634.766,724.121
-698.73,136.23,106.934,221.68
-1000.0,-837.402,-855.957,-802.246
-1000.0,-1000.0,-1000.0,-1000.0
-823.73,-1000.0,-1000.0,-1000.0
-398.926,-588.867,-726.074,-643.555
621.582,-105.469,-318.359,-264.16
-915.527,859.375,797.363,840.332
881.836,-808.594,-828.125,-833.008
430.176,842.285,942.383,974.121
-241.699,540.039,575.684,646.484
-953.125,-712.891,-560.547,-617.676
-1000.0,-1000.0,-1000.0,-969.238
-990.234,-1000.0,-1000.0,-1000.0
-564.941,-828.125,-791.504,-898.438
353.516,-482.91,-485.352,-476.562
980.469,679.688,639.648,639.16
-819.336,-1000.0,-1000.0,-1000.0
-462.402,-580.566,-708.496,-685.059
640.137,-90.332,-228.027,-331.543
-913.086,866.699,798.34,836.426
958.496,-807.617,-819.824,-827.637
421.387,876.465,-992.188,-987.793
-410.156,421.875,474.121,478.516
-954.59,-700.195,-539.062,-493.652
-1000.0,-906.25,-908.691,-876.465
-993.652,-1000.0,-1000.0,-1000.0
-565.918,-862.793,-814.453,-909.18
171.875,-509.766,-497.07,-547.852
976.562,662.109,634.766,577.148
-973.633,-923.34,-964.844,-958.496
