xcoord,ycoord
8285250.591,3700724.233
8285250.591,3701024.233
8285250.591,3701324.233
8285250.591,3701624.233
8285250.591,3701924.233
8285550.591,3689324.233
8285550.591,3689624.233
8285550.591,3689924.233
8285550.591,3692924.233
8285550.591,3693224.233
8285550.591,3693524.233
8285550.591,3693824.233
8285550.591,3695324.233
8285550.591,3695924.233
8285550.591,3697424.233
8285550.591,3697724.233
8285550.591,3698024.233
8285550.591,3700124.233
8285550.591,3700424.233
8285550.591,3700724.233
8285550.591,3701024.233
8285550.591,3701324.233
8285550.591,3701624.233
8285550.591,3701924.233
8285850.591,3689024.233
8285850.591,3689324.233
8285850.591,3689624.233
8285850.591,3689924.233
8285850.591,3690224.233
8285850.591,3690524.233
8285850.591,3692924.233
8285850.591,3693224.233
8285850.591,3693524.233
8285850.591,3693824.233
8285850.591,3694124.233
8285850.591,3694724.233
8285850.591,3695324.233
8285850.591,3695624.233
8285850.591,3695924.233
8285850.591,3696224.233
8285850.591,3697124.233
8285850.591,3697424.233
8285850.591,3697724.233
8285850.591,3698024.233
8285850.591,3700124.233
8285850.591,3700424.233
8285850.591,3700724.233
8285850.591,3701024.233
8286150.591,3689024.233
8286150.591,3689324.233
8286150.591,3689624.233
8286150.591,3689924.233
8286150.591,3690224.233
8286150.591,3690524.233
8286150.591,3692624.233
8286150.591,3692924.233
8286150.591,3693224.233
8286150.591,3693524.233
8286150.591,3693824.233
8286150.591,3694124.233
8286150.591,3695324.233
8286150.591,3695924.233
8286150.591,3696224.233
8286150.591,3696524.233
8286150.591,3696824.233
8286150.591,3697124.233
8286150.591,3697424.233
8286150.591,3697724.233
8286150.591,3698024.233
8286150.591,3698624.233
8286150.591,3698924.233
8286150.591,3699224.233
8286150.591,3699524.233
8286150.591,3700124.233
8286150.591,3700424.233
8286150.591,3700724.233
8286150.591,3701024.233
8286450.591,3689024.233
8286450.591,3689324.233
8286450.591,3689624.233
8286450.591,3689924.233
8286450.591,3690224.233
8286450.591,3690524.233
8286450.591,3690824.233
8286450.591,3691124.233
8286450.591,3692624.233
8286450.591,3692924.233
8286450.591,3693224.233
8286450.591,3693524.233
8286450.591,3693824.233
8286450.591,3694124.233
8286450.591,3694424.233
8286450.591,3694724.233
8286450.591,3695924.233
8286450.591,3696224.233
8286450.591,3696524.233
8286450.591,3696824.233
8286450.591,3697124.233
8286450.591,3697424.233
8286450.591,3697724.233
8286450.591,3698324.233
8286450.591,3698624.233
8286450.591,3698924.233
8286450.591,3699224.233
8286450.591,3699524.233
8286450.591,3700124.233
8286450.591,3700424.233
8286450.591,3700724.233
8286450.591,3701024.233
8286750.591,3688724.233
8286750.591,3689024.233
8286750.591,3689324.233
8286750.591,3689624.233
8286750.591,3689924.233
8286750.591,3690224.233
8286750.591,3690524.233
8286750.591,3690824.233
8286750.591,3692624.233
8286750.591,3692924.233
8286750.591,3693224.233
8286750.591,3693524.233
8286750.591,3693824.233
8286750.591,3694124.233
8286750.591,3694424.233
8286750.591,3694724.233
8286750.591,3695624.233
8286750.591,3695924.233
8286750.591,3696224.233
8286750.591,3696824.233
8286750.591,3697124.233
8286750.591,3697424.233
8286750.591,3698024.233
