timestamps,TP9,AF7,AF8,TP10
1669629471.301,-499.512,-1000.000,-1000.000,-1000.000
1669629471.305,-1000.000,-1000.000,-989.746,-1000.000
1669629471.309,-537.598,63.965,152.832,-147.949
1669629471.313,709.961,-774.902,-794.434,-807.617
1669629471.317,977.539,218.750,204.102,174.316
1669629471.320,-251.953,-994.141,-989.258,-1000.000
1669629471.324,-1000.000,-1000.000,-1000.000,-1000.000
1669629471.328,-680.664,-164.551,-228.027,-239.258
1669629471.332,505.859,-819.336,-828.613,-829.102
1669629471.336,-920.898,433.105,314.453,315.430
1669629471.338,-74.707,-909.180,-977.051,-968.750
1669629471.342,-1000.000,-1000.000,-1000.000,-1000.000
1669629471.346,-779.785,-228.027,-256.348,-333.008
1669629471.350,333.496,-892.578,-864.746,-889.160
1669629471.354,-860.840,698.242,528.809,521.484
1669629471.358,84.961,-675.293,-827.637,-849.121
1669629471.362,-1000.000,-1000.000,-1000.000,-1000.000
1669629471.365,-882.324,-231.934,-211.426,-437.012
1669629471.369,189.941,-981.934,-996.094,969.727
1669629471.373,-839.355,949.707,979.980,813.477
1669629471.377,229.492,-301.270,-197.754,-565.430
1669629471.381,-1000.000,-1000.000,-1000.000,-1000.000
1669629471.383,-996.582,-343.750,-392.090,-599.121
1669629471.387,5.371,923.828,904.297,732.422
1669629471.391,-861.328,-922.852,-934.570,-945.312
1669629471.395,390.137,-14.160,-75.195,-245.117
1669629471.399,-905.273,-1000.000,-1000.000,-1000.000
1669629471.403,-1000.000,-584.473,-644.531,-810.059
1669629471.407,-214.844,753.418,723.145,436.035
1669629471.410,-937.988,-851.074,-864.258,-821.289
1669629471.414,521.973,136.719,-35.156,1.953
1669629471.418,-798.828,-1000.000,-1000.000,-1000.000
1669629471.422,-1000.000,-885.742,-780.273,-1000.000
1669629471.426,-476.074,415.527,530.273,112.305
1669629471.428,868.164,-792.480,-814.941,-790.039
1669629471.432,716.797,146.484,103.027,125.000
1669629471.436,-634.277,-1000.000,-1000.000,-1000.000
1669629471.440,-1000.000,-1000.000,-960.938,-1000.000
1669629471.444,-605.469,106.445,240.723,-69.336
1669629471.448,667.969,-773.438,-789.062,-799.805
1669629471.452,918.457,180.176,176.758,178.711
1669629471.455,-375.488,-1000.000,-1000.000,-1000.000
1669629471.459,-1000.000,-1000.000,-1000.000,-1000.000
1669629471.463,-713.867,-131.348,-183.105,-185.059
1669629471.467,471.191,-809.570,-824.219,-818.359
1669629471.471,-947.754,410.156,301.270,323.730
1669629471.473,-151.367,-917.480,-978.516,-963.379
1669629471.477,-1000.000,-1000.000,-1000.000,-1000.000
1669629471.481,-812.012,-224.609,-253.418,-254.395
1669629471.485,293.457,-881.836,-848.633,-872.559
1669629471.489,-870.117,662.109,455.078,579.590
1669629471.493,23.438,-715.820,-896.484,-786.621
1669629471.497,-1000.000,-1000.000,-1000.000,-1000.000
1669629471.500,-903.320,-216.309,-219.238,-318.848
1669629471.504,140.625,-965.820,-981.934,-974.609
1669629471.508,-838.379,920.410,938.965,834.961
1669629471.512,184.082,-350.586,-272.461,-495.605
1669629471.516,-1000.000,-1000.000,-1000.000,-1000.000
1669629471.533,-1000.000,-312.012,-356.445,-428.711
1669629471.537,-21.973,940.918,919.434,873.535
1669629471.541,-853.516,-931.641,-942.383,-944.336
1669629471.545,322.266,-66.406,-91.309,-157.227
1669629471.549,-958.984,-1000.000,-1000.000,-1000.000
1669629471.553,-1000.000,-473.145,-578.125,-606.934
1669629471.557,-197.754,789.062,744.629,638.672
1669629471.560,-925.293,-862.305,-873.535,-846.191
1669629471.564,498.047,126.953,-49.805,59.082
1669629471.568,-823.730,-1000.000,-1000.000,-1000.000
1669629471.572,-1000.000,-840.332,-753.418,-875.488
1669629471.576,-366.211,477.539,566.406,367.188
1669629471.578,941.406,-799.805,-821.777,-799.316
