timestamps,TP9,AF7,AF8,TP10
1669195275.002,-80.078,-564.453,-706.543,135.254
1669195275.006,-1000.000,-1000.000,-1000.000,-481.934
1669195275.010,-910.156,-254.395,-66.406,-445.312
1669195275.014,402.832,-979.980,-912.109,60.059
1669195275.032,-799.316,844.727,793.945,575.684
1669195275.036,275.879,-559.570,-597.168,234.863
1669195275.040,-975.586,-1000.000,-1000.000,-451.660
1669195275.044,-1000.000,-572.754,-286.621,-501.465
1669195275.048,229.980,873.535,992.188,-29.297
1669195275.052,-810.547,917.969,889.648,554.688
1669195275.056,552.734,-551.758,-505.859,325.684
1669195275.059,-806.641,-1000.000,-1000.000,-415.527
1669195275.063,-1000.000,-722.656,-634.766,-537.109
1669195275.067,-68.359,714.355,760.254,-93.750
1669195275.071,-901.855,-952.637,991.699,504.395
1669195275.075,737.305,-391.113,-467.773,401.367
1669195275.077,-656.738,-1000.000,-1000.000,-338.379
1669195275.081,-1000.000,-815.918,-847.656,-538.574
1669195275.085,-380.371,565.430,583.008,-146.484
1669195275.089,970.703,-857.910,-933.105,462.402
1669195275.093,853.516,-154.297,-418.457,489.746
1669195275.097,-583.008,-1000.000,-1000.000,-253.418
1669195275.101,-1000.000,-842.773,-827.637,-541.016
1669195275.104,-638.672,517.578,515.137,-187.988
1669195275.108,831.543,-819.336,-847.656,397.949
1669195275.112,908.691,163.086,120.117,528.320
1669195275.116,-595.703,-1000.000,-1000.000,-166.016
1669195275.120,-1000.000,-893.066,-870.605,-551.758
1669195275.121,-795.410,484.375,515.137,-278.809
1669195275.125,671.875,-814.453,-829.102,297.852
1669195275.129,986.816,515.137,590.332,543.945
1669195275.133,-539.062,-882.812,-836.426,-83.496
1669195275.137,-1000.000,-1000.000,-1000.000,-550.781
1669195275.141,-842.285,342.285,347.656,-346.191
1669195275.145,573.242,-834.961,-827.148,207.520
1669195275.148,-914.551,697.754,634.766,561.523
1669195275.152,-373.047,-708.984,-766.113,19.531
1669195275.156,-1000.000,-1000.000,-1000.000,-542.480
1669195275.160,-846.680,168.945,115.723,-411.621
1669195275.164,517.090,-869.141,-844.238,139.648
1669195275.167,-841.797,784.180,681.152,585.449
1669195275.171,-102.539,-576.660,-724.121,125.000
1669195275.175,-1000.000,-1000.000,-1000.000,-498.535
1669195275.179,-900.391,-185.059,-26.367,-441.406
1669195275.183,416.504,-957.520,-900.391,72.266
1669195275.187,-801.758,834.473,784.180,553.711
1669195275.191,268.066,-554.688,-599.121,191.895
1669195275.194,-984.375,-1000.000,-1000.000,-473.633
1669195275.198,-1000.000,-550.293,-290.039,-509.766
1669195275.202,270.020,885.742,990.234,-32.227
1669195275.206,-807.129,917.969,894.531,536.133
1669195275.210,547.363,-543.457,-499.023,299.316
1669195275.211,-816.895,-1000.000,-1000.000,-422.852
1669195275.215,-1000.000,-715.820,-595.215,-542.969
1669195275.219,7.812,731.445,793.457,-105.469
1669195275.223,-882.324,-971.680,982.422,491.211
1669195275.227,723.145,-427.246,-468.750,371.582
1669195275.231,-659.668,-1000.000,-1000.000,-363.770
1669195275.235,-1000.000,-814.453,-839.355,-558.594
1669195275.238,-346.680,568.848,590.332,-163.574
1669195275.242,983.887,-862.305,-938.965,452.637
1669195275.246,848.145,-179.199,-427.246,458.008
1669195275.250,-582.031,-1000.000,-1000.000,-275.879
1669195275.254,-1000.000,-838.867,-825.195,-553.223
1669195275.257,-595.703,514.160,512.207,-212.402
1669195275.261,859.375,-816.895,-845.703,383.789
1669195275.265,905.762,183.105,153.809,506.348
